"target_mu","actual_mu_min","N_base","rho_eta_over_mu","eta","mu_min_used","mean_holonomy_error","std_holonomy_error","mean_unitarity_error","max_unitarity_error","trials"
0.95,0.9499999999999997,80,"1/1000000",9.499999999999997e-7,0.9499999999999997,4.0795782450855804e-6,3.5159312298104167e-6,4.6191598703904545e-15,1.373450942505641e-14,20
0.95,0.9499999999999997,80,"3/1000000",2.8499999999999994e-6,0.9499999999999997,0.000012965341054974342,0.000010514846926849677,3.847373322718609e-15,7.445947253040691e-15,20
0.95,0.9499999999999997,80,"1/100000",9.499999999999999e-6,0.9499999999999997,0.00003418815914171044,0.000020855964736315332,4.872421103313416e-15,1.2293495591246603e-14,20
0.95,0.9499999999999997,80,"3/100000",0.00002849999999999999,0.9499999999999997,0.00014473945589356458,0.00010862237836285962,5.663370518164827e-15,1.2445907740985429e-14,20
0.95,0.9499999999999997,80,"1/10000",0.00009499999999999998,0.9499999999999997,0.0003765791739837315,0.00029422353109185103,4.6813074265312745e-15,1.3065080425661657e-14,20
0.7,0.7,80,"1/1000000",7.e-7,0.7,3.070539226540016e-6,2.3391018265400994e-6,6.326254183549131e-15,1.448512675289077e-14,20
0.7,0.7,80,"3/1000000",2.1e-6,0.7,0.000012368379888419993,7.568931785601865e-6,4.327352214583506e-15,1.424053086876323e-14,20
0.7,0.7,80,"1/100000",7.e-6,0.7,0.00002714450437575046,0.000023984069046566976,6.422536812395127e-15,1.462201288866414e-14,20
0.7,0.7,80,"3/100000",0.000021,0.7,0.00008286505823646944,0.00005027594748241093,4.742992934630976e-15,1.5979692651441964e-14,20
0.7,0.7,80,"1/10000",0.00007,0.7,0.000415191438435261,0.00025616560422340827,3.672679554799788e-15,6.8621135194835595e-15,20
0.5,0.4999999999999999,80,"1/1000000",4.999999999999999e-7,0.4999999999999999,2.9417178250858636e-6,2.0382865458991126e-6,5.526259726298213e-15,1.641779249938019e-14,20
0.5,0.4999999999999999,80,"3/1000000",1.4999999999999996e-6,0.4999999999999999,6.68398017921557e-6,4.4194757315780965e-6,5.754913675711931e-15,1.2882953063310833e-14,20
0.5,0.4999999999999999,80,"1/100000",4.9999999999999996e-6,0.4999999999999999,0.00001961417617370022,0.000016028068182245084,4.4012685606755924e-15,1.1149193963179922e-14,20
0.5,0.4999999999999999,80,"3/100000",0.000014999999999999997,0.4999999999999999,0.00008101730726615362,0.00005404756904304066,5.329221710592224e-15,1.406593039940522e-14,20
0.5,0.4999999999999999,80,"1/10000",0.00004999999999999999,0.4999999999999999,0.0001973668629030207,0.0001704354896471451,5.0459792821226016e-15,1.510639116150693e-14,20
0.3,0.29999999999999993,80,"1/1000000",2.9999999999999993e-7,0.29999999999999993,1.6883193145851507e-6,1.0603750412581602e-6,4.85806636593686e-15,1.2143183283721953e-14,20
0.3,0.29999999999999993,80,"3/1000000",8.999999999999999e-7,0.29999999999999993,5.516983332096941e-6,3.7792642900953897e-6,6.3289279844969486e-15,1.3917822989267773e-14,20
0.3,0.29999999999999993,80,"1/100000",2.9999999999999997e-6,0.29999999999999993,0.00001620846541270871,0.000012031637503301087,5.841934876007405e-15,1.5305897674466933e-14,20
0.3,0.29999999999999993,80,"3/100000",8.999999999999999e-6,0.29999999999999993,0.00007315953389435595,0.00004107921154829021,6.905029017601992e-15,1.7797017065285357e-14,20
0.3,0.29999999999999993,80,"1/10000",0.000029999999999999994,0.29999999999999993,0.00021542226209211136,0.00019898810953720365,6.093604016440399e-15,1.2692282104187627e-14,20
0.15,0.15,80,"1/1000000",1.5e-7,0.15,1.0166413026647009e-6,6.072420940727819e-7,5.6844646092499755e-15,1.1415608777328431e-14,20
0.15,0.15,80,"3/1000000",4.5e-7,0.15,4.030692323613417e-6,2.5741800922844295e-6,6.50748694910288e-15,1.2736770244517034e-14,20
0.15,0.15,80,"1/100000",1.5e-6,0.15,8.72761750513166e-6,5.129011791267567e-6,5.604820593410754e-15,1.3132127574703517e-14,20
0.15,0.15,80,"3/100000",4.5e-6,0.15,0.00002620274073368613,0.00001821693476261066,6.767125289121272e-15,1.6417464035136972e-14,20
0.15,0.15,80,"1/10000",0.000015,0.15,0.00011440193959783333,0.00007875649947643123,5.8990874493142604e-15,1.3833767036203435e-14,20
